Best Solution,Avg Solution,Time (s),Gap_BST,Gap_AVG
2615,2615,"180,17","0,42","0,42"
2660,2660,"180,18","0,00","0,00"
2516,2514,"180,17","0,00","0,08"
2556,2556,"180,31","0,00","0,00"
2624,2624,"180,17","0,04","0,04"
2615,2615,"180,30","0,00","0,00"
2627,2625,"180,35","0,00","0,08"
2556,2556,"99,96","0,00","0,00"
2613,2613,"134,79","0,00","0,00"
2558,2558,"180,18","0,00","0,00"
3589,3583,"180,25","0,00","0,17"
3425,3424,"180,30","-0,09","-0,06"
3678,3676,"180,26","0,03","0,08"
3662,3662,"180,25","0,05","0,05"
3636,3630,"180,25","0,30","0,47"
3592,3592,"180,26","0,11","0,11"
3529,3525,"180,25","0,37","0,48"
3610,3609,"180,26","0,25","0,28"
3541,3541,"180,26","0,34","0,34"
3645,3645,"180,25","0,19","0,19"
4150,4150,"180,29","0,81","0,81"
4043,4037,"180,29","0,54","0,69"
4100,4100,"180,29","0,05","0,05"
3982,3981,"180,29","1,70","1,73"
4050,4050,"180,29","0,86","0,86"
4234,4234,"180,29","0,35","0,35"
4102,4099,"180,29","0,46","0,53"
4037,4036,"180,29","0,64","0,66"
4053,4051,"180,29","0,66","0,71"
4105,4105,"180,29","0,46","0,46"
4890,4890,"184,42","0,75","0,75"
4934,4934,"184,42","0,64","0,64"
5118,5115,"184,42","1,02","1,08"
5102,5102,"184,42","0,76","0,76"
5119,5119,"184,42","0,29","0,29"
5061,5061,"184,42","0,41","0,41"
5034,5034,"184,42","1,29","1,29"
5146,5146,"184,42","0,62","0,62"
5103,5100,"184,42","0,10","0,16"
5147,5132,"184,42","0,60","0,89"
